id_pedido,id_sku,cantidad,destino
P0001,SKU-A,1,Tienda_01
P0002,SKU-B,2,Tienda_02
P0003,SKU-C,1,Ecommerce_01
P0004,SKU-D,3,Tienda_03
P0005,SKU-E,1,Tienda_04
P0006,SKU-F,2,Ecommerce_02
P0007,SKU-G,1,Tienda_05
P0008,SKU-A,3,Ecommerce_03
P0009,SKU-B,1,Tienda_01
P0010,SKU-C,2,Tienda_02
P0011,SKU-D,1,Ecommerce_01
P0012,SKU-E,3,Tienda_03
P0013,SKU-F,1,Tienda_04
P0014,SKU-G,2,Ecommerce_02
P0015,SKU-A,1,Tienda_05
P0016,SKU-B,3,Ecommerce_03
P0017,SKU-C,1,Tienda_01
P0018,SKU-D,2,Tienda_02
P0019,SKU-E,1,Ecommerce_01
P0020,SKU-F,3,Tienda_03
P0021,SKU-G,1,Tienda_04
P0022,SKU-A,2,Ecommerce_02
P0023,SKU-B,1,Tienda_05
P0024,SKU-C,3,Ecommerce_03
P0025,SKU-D,1,Tienda_01
P0026,SKU-E,2,Tienda_02
P0027,SKU-F,1,Ecommerce_01
P0028,SKU-G,3,Tienda_03
P0029,SKU-A,1,Tienda_04
P0030,SKU-B,2,Ecommerce_02
P0031,SKU-C,1,Tienda_05
P0032,SKU-D,3,Ecommerce_03
P0033,SKU-E,1,Tienda_01
P0034,SKU-F,2,Tienda_02
P0035,SKU-G,1,Ecommerce_01
P0036,SKU-A,3,Tienda_03
P0037,SKU-B,1,Tienda_04
P0038,SKU-C,2,Ecommerce_02
P0039,SKU-D,1,Tienda_05
P0040,SKU-E,3,Ecommerce_03
