id_pedido,id_sku,cantidad,destino
P001,SKU-A,2,Tienda_01
P002,SKU-B,1,Tienda_02
P003,SKU-C,3,Ecommerce_01
P004,SKU-A,1,Tienda_03
P005,SKU-D,2,Tienda_01
P006,SKU-E,1,Ecommerce_02
P007,SKU-B,2,Tienda_04
P008,SKU-F,3,Tienda_02
P009,SKU-G,1,Ecommerce_01
P010,SKU-A,2,Tienda_05
P011,SKU-C,1,Tienda_03
P012,SKU-H,2,Ecommerce_02
P013,SKU-D,1,Tienda_01
P014,SKU-E,3,Tienda_04
P015,SKU-B,1,Ecommerce_01
P016,SKU-F,2,Tienda_05
P017,SKU-G,2,Tienda_02
P018,SKU-A,1,Tienda_03
P019,SKU-H,3,Ecommerce_02
P020,SKU-C,2,Tienda_01
P021,SKU-D,1,Tienda_04
P022,SKU-E,2,Ecommerce_01
P023,SKU-B,3,Tienda_05
P024,SKU-F,1,Tienda_02
P025,SKU-G,2,Tienda_03
P026,SKU-A,3,Ecommerce_02
P027,SKU-H,1,Tienda_01
P028,SKU-C,2,Tienda_04
P029,SKU-D,2,Ecommerce_01
P030,SKU-E,1,Tienda_05
P031,SKU-B,1,Tienda_02
P032,SKU-F,2,Tienda_03
P033,SKU-G,3,Ecommerce_02
P034,SKU-A,1,Tienda_01
P035,SKU-H,2,Tienda_04
P036,SKU-C,1,Tienda_05
P037,SKU-D,3,Ecommerce_01
P038,SKU-E,2,Tienda_02
P039,SKU-B,1,Tienda_03
P040,SKU-F,1,Ecommerce_02
P041,SKU-G,2,Tienda_01
P042,SKU-A,2,Tienda_04
P043,SKU-H,1,Tienda_05
P044,SKU-C,3,Tienda_02
P045,SKU-D,2,Ecommerce_01
P046,SKU-E,1,Tienda_03
P047,SKU-B,2,Tienda_01
P048,SKU-F,1,Ecommerce_02
P049,SKU-G,3,Tienda_04
P050,SKU-A,1,Tienda_05
P051,SKU-H,2,Tienda_02
P052,SKU-C,1,Tienda_03
P053,SKU-D,2,Ecommerce_01
P054,SKU-E,3,Tienda_01
P055,SKU-B,1,Tienda_04
P056,SKU-F,2,Tienda_05
P057,SKU-G,1,Ecommerce_02
P058,SKU-A,3,Tienda_02
P059,SKU-H,1,Tienda_03
P060,SKU-C,2,Tienda_04
P061,SKU-D,1,Ecommerce_01
P062,SKU-E,2,Tienda_01
P063,SKU-B,3,Tienda_05
P064,SKU-F,1,Tienda_02
P065,SKU-G,2,Tienda_03
P066,SKU-A,1,Ecommerce_02
P067,SKU-H,2,Tienda_04
P068,SKU-C,1,Tienda_01
P069,SKU-D,3,Tienda_05
P070,SKU-E,1,Ecommerce_01
P071,SKU-B,2,Tienda_02
P072,SKU-F,2,Tienda_03
P073,SKU-G,1,Ecommerce_02
P074,SKU-A,2,Tienda_04
P075,SKU-H,3,Tienda_01
P076,SKU-C,1,Tienda_05
P077,SKU-D,2,Tienda_02
P078,SKU-E,1,Ecommerce_01
P079,SKU-B,3,Tienda_03
P080,SKU-F,1,Tienda_04
P081,SKU-G,2,Ecommerce_02
P082,SKU-A,1,Tienda_01
P083,SKU-H,2,Tienda_05
P084,SKU-C,2,Tienda_02
P085,SKU-D,1,Ecommerce_01
P086,SKU-E,3,Tienda_03
P087,SKU-B,1,Tienda_04
P088,SKU-F,2,Tienda_01
P089,SKU-G,1,Ecommerce_02
P090,SKU-A,2,Tienda_05
P091,SKU-H,1,Tienda_02
P092,SKU-C,3,Tienda_03
P093,SKU-D,2,Ecommerce_01
P094,SKU-E,1,Tienda_04
P095,SKU-B,2,Tienda_01
P096,SKU-F,1,Tienda_05
P097,SKU-G,3,Ecommerce_02
P098,SKU-A,1,Tienda_02
P099,SKU-H,2,Tienda_03
P100,SKU-C,1,Tienda_04
